transaction_number,transaction_date,transaction_type,transaction_description,debit_amount,credit_amount,balance,category,location_city,location_country,amount,direction
1,2022-07-25,BP,SAVE THE CHANGE,3.11,,541.43,Savings,Nottingham,UK,3.11,debit
2,2022-07-25,DEB,LIDL GB  NOTTINGHA,15.02,,544.54,Groceries,Nottingham,UK,15.02,debit
3,2022-07-25,DEB,NON-GBP PURCH FEE,0.5,,559.56,Others,Nottingham,UK,0.5,debit
4,2022-07-25,DEB,NON-GBP TRANS FEE,0.37,,560.06,Others,Nottingham,UK,0.37,debit
5,2022-07-25,DEB,TRAVELIUM LLC,12.59,,560.43,Uncategorized,Unknown,Unknown,12.59,debit
6,2022-07-25,DEB,Audible UK,7.99,,573.02,Entertainment,Nottingham,UK,7.99,debit
7,2022-07-25,FPO,MISS D WU,25.0,,581.01,Services,Nottingham,UK,25.0,debit
8,2022-07-25,DEB,SAINSBURYS S/MKTS,35.57,,606.01,Groceries,Nottingham,UK,35.57,debit
9,2022-07-22,DEB,LIDL GB  NOTTINGHA,18.21,,641.58,Groceries,Nottingham,UK,18.21,debit
10,2022-07-22,DEB,Amazon.co.uk*VK6IN,13.51,,659.79,Amazon,Nottingham,UK,13.51,debit
11,2022-07-22,FPO,MR J DOME,175.0,,673.3,Services,Nottingham,UK,175.0,debit
12,2022-07-21,FPO,MISS D WU,35.0,,848.3,Services,Nottingham,UK,35.0,debit
13,2022-07-20,FPO,TRADING212UK,200.0,,883.3,Investment,Nottingham,UK,200.0,debit
14,2022-07-20,FPI,SHEILA SMITH,,390.0,1083.3,Supplementary Income,Nottingham,UK,390.0,credit
15,2022-07-20,BP,SAVE THE CHANGE,0.65,,693.3,Savings,Nottingham,UK,0.65,debit
16,2022-07-19,DEB,THE TERRACE CAFE M,31.35,,693.95,Dine Out,Unknown,Unknown,31.35,debit
17,2022-07-19,BP,SAVE THE CHANGE,1.6,,725.3,Savings,Nottingham,UK,1.6,debit
18,2022-07-18,DEB,The Corinthian,7.4,,726.9,Dine Out,Nottingham,UK,7.4,debit
19,2022-07-18,DEB,The Corinthian,4.6,,734.3,Dine Out,Nottingham,UK,4.6,debit
20,2022-07-18,DEB,TIGERMILK EVENTS,4.5,,738.9,Entertainment,Plymouth,UK,4.5,debit
21,2022-07-18,DEB,UBER   *TRIP,11.9,,743.4,Travel,Plymouth,UK,11.9,debit
22,2022-07-18,DD,VIRGIN MEDIA PYMTS,56.25,,755.3,Bills,Nottingham,UK,56.25,debit
23,2022-07-18,DD,O2,17.95,,811.55,Other Shopping,Nottingham,UK,17.95,debit
24,2022-07-18,BP,SAVE THE CHANGE,2.4,,829.5,Savings,Nottingham,UK,2.4,debit
25,2022-07-18,CPT,LNK COOPERATIVE PL,40.0,,831.9,Cash,Plymouth,UK,40.0,debit
26,2022-07-18,DEB,COSMIC KITCHEN LIM,75.8,,871.9,Home Improvement,Nottingham,UK,75.8,debit
27,2022-07-18,DEB,TESCO STORE 3033,20.0,,947.7,Groceries,Plymouth,UK,20.0,debit
28,2022-07-18,DEB,CROWNE PLAZA,10.0,,967.7,Hotels,Plymouth,UK,10.0,debit
29,2022-07-18,DEB,EAST MIDS RAILWAY,213.0,,977.7,Travel,Plymouth,UK,213.0,debit
30,2022-07-18,DEB,AMZNMktplace,26.99,,1190.7,Amazon,Nottingham,UK,26.99,debit
31,2022-07-18,DEB,TESCO STORE 3033,22.1,,1217.69,Groceries,Plymouth,UK,22.1,debit
32,2022-07-18,DEB,SumUp  *Taxi first,8.0,,1239.79,Travel,Plymouth,UK,8.0,debit
33,2022-07-15,DEB,Amazon.co.uk*ST7ZE,42.01,,1247.79,Amazon,Nottingham,UK,42.01,debit
34,2022-07-15,DEB,ASPIRE CAFE,2.7,,1289.8,Dine Out,Nottingham,UK,2.7,debit
35,2022-07-15,FPI,WU,,27.0,1292.5,Supplementary Income,Nottingham,UK,27.0,credit
36,2022-07-15,BP,SAVE THE CHANGE,1.43,,1265.5,Savings,Nottingham,UK,1.43,debit
37,2022-07-14,DEB,UBER   *TRIP,5.66,,1266.93,Travel,Nottingham,UK,5.66,debit
38,2022-07-14,DEB,UBER   *TRIP,5.38,,1272.59,Travel,Nottingham,UK,5.38,debit
39,2022-07-14,DEB,MEDINA CONTINENTAL,4.53,,1277.97,Dine Out,Nottingham,UK,4.53,debit
40,2022-07-14,BP,SAVE THE CHANGE,1.01,,1282.5,Savings,Nottingham,UK,1.01,debit
41,2022-07-13,DEB,HPI INSTANT INK UK,4.49,,1283.51,Other Shopping,Nottingham,UK,4.49,debit
42,2022-07-13,DEB,CAFE TERRAZZO,3.5,,1288.0,Dine Out,Nottingham,UK,3.5,debit
43,2022-07-13,BP,SAVE THE CHANGE,0.08,,1291.5,Savings,Nottingham,UK,0.08,debit
44,2022-12-07,FPO,CAPEWELL WINDOW CL,30.0,,1291.58,Home Improvement,Nottingham,UK,30.0,debit
45,2022-12-07,DEB,AMZNMktplace,12.99,,1321.58,Amazon,Nottingham,UK,12.99,debit
46,2022-12-07,DEB,AMZNMktplace,9.93,,1334.57,Amazon,Nottingham,UK,9.93,debit
47,2022-12-07,BP,SAVE THE CHANGE,0.28,,1344.5,Savings,Nottingham,UK,0.28,debit
48,2022-11-07,DEB,LIDL GB  NOTTINGHA,47.84,,1344.78,Groceries,Nottingham,UK,47.84,debit
49,2022-11-07,DEB,UBER   *TRIP,4.88,,1392.62,Travel,Nottingham,UK,4.88,debit
50,2022-11-07,BP,SAVE THE CHANGE,1.16,,1397.5,Savings,Nottingham,UK,1.16,debit
51,2022-11-07,DEB,UBER   *TRIP,9.69,,1398.66,Travel,Nottingham,UK,9.69,debit
52,2022-11-07,DEB,UBER   *TRIP,7.48,,1408.35,Travel,Nottingham,UK,7.48,debit
53,2022-11-07,DEB,Subway 26377 Corne,6.89,,1415.83,Dine Out,Nottingham,UK,6.89,debit
54,2022-11-07,DEB,UBER   *TRIP,1.0,,1422.72,Travel,Nottingham,UK,1.0,debit
55,2022-08-07,FPI,Zoe Zappa,,325.0,1423.72,Supplementary Income,Nottingham,UK,325.0,credit
56,2022-08-07,DEB,DOSA N CHUTNEY,34.78,,1098.72,Dine Out,Nottingham,UK,34.78,debit
57,2022-08-07,BGC,UNIV OF NOTTINGHAM,,351.08,1133.5,Travel Reimbursement,Nottingham,UK,351.08,credit
58,2022-07-07,BP,SAVE THE CHANGE,0.77,,782.42,Savings,Nottingham,UK,0.77,debit
